contour_points,amount_contours,rect_area,hull_area,approximation_area,contour_perimeters,corners,harris_corners,ratio_wide_length,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,hull_rectangle_ratio,labels
676,3,20729.54524463974,14977.0,10152.5,789.4945094585419,53,901,3.3993290006917114,0.07731046900299078,0.038085471733283194,0.05271379511641463,1.1490379934398853,1.3183012217982621,0.492630199046003,0.6818454964278561,0.7224953477391292,0
1725,3,65025.0,65025.0,48154.5,1847.192993760109,92,1582,1.0,0.03850845854592303,0.02840742781637999,0.02840742781637999,1.8109735232942246,1.8109735232942246,0.7376931949250288,0.7376931949250288,1.0,0
514,2,18142.0,14201.0,11280.5,561.2203433513641,62,305,0.48704663212435234,0.0497271259393376,0.03093486624139368,0.039519776308102536,0.9777357898107389,1.1343763699318063,0.6220923823172748,0.7947327652982185,0.7827692646896703,0
492,83,6807.69467020483,4847.5,1323.5,598.8670928478241,52,15,0.12490456685623992,0.44758377641840363,0.08796914695203353,0.12354143225329017,1.140181259264189,1.2141939805069413,0.19654230467415224,0.27601856627127386,0.7120618997817286,0
988,5,54314.98571777437,33316.0,25395.5,1076.6416971683502,54,1504,1.1971831268429647,0.042450977729214974,0.01982218503679038,0.032316055263787676,1.1502583734837066,1.3136231058653347,0.4669429562548957,0.7612558530435827,0.6133850457609062,0
866,2,17072.899499084568,13419.0,10028.5,966.2396762371063,55,298,3.8631286733833496,0.09672068831202266,0.05659493727406497,0.07200534139929252,1.4943593849863561,1.6995718586083761,0.5851378672108773,0.744466800804829,0.785982486496773,0
421,2,12629.0,9954.5,8011.5,457.0365778207779,48,287,0.42196531791907516,0.057040446529894276,0.036189451090409205,0.045912559929758186,0.9289361337820689,1.0700834985285659,0.6344524507086864,0.8049123511979507,0.7882255127088448,0
1851,36,65025.0,65025.0,47715.5,1952.482316851616,100,1038,1.0,0.04095701450240953,0.03002664078203177,0.03002664078203177,1.9141983498545254,1.9141983498545254,0.7331257208765859,0.7331257208765859,1.0,0
265,5,5170.904665657523,4774.0,4593.5,279.49747383594513,39,1564,1.270044484810723,0.060846298864905876,0.05405194872228509,0.058545763266850674,0.9648053975003855,1.080774905045223,0.8883358516562205,0.9621910347716799,0.9232427029077603,0
432,2,7548.0,5859.0,4515.0,467.62236428260803,29,52,0.18137254901960784,0.10345627528376283,0.06195314842111924,0.07981265818102203,0.9701708802543735,1.0692195057009608,0.598834128245893,0.7714627069465779,0.7762321144674086,0
1595,2,65025.0,65025.0,46599.0,1736.2468165159225,77,714,1.0,0.0372909248706692,0.02670121978494306,0.02670121978494306,1.70220276129012,1.70220276129012,0.7160246059207996,0.7160246059207996,1.0,0
601,7,18685.5550377497,13311.0,10609.0,702.4823168516159,60,515,0.29553602577747845,0.06616891789682249,0.03759493980416521,0.052774571170581916,1.0782218281953722,1.2546571181316697,0.5681661571493005,0.79757343550447,0.7123684564417971,0
917,9,25815.88612538972,18656.5,14957.0,1000.256921172142,55,341,1.413564027530739,0.06681966138963506,0.038745790724123055,0.05361439290178447,1.5333347177410281,1.9037712713021364,0.5798561369263872,0.8023745075442875,0.7226751740917962,0
470,2,13680.0,10787.0,8452.5,498.16652059555054,44,423,0.4222222222222222,0.058884931512476424,0.036415681330084104,0.04618211927278674,0.9729814855381846,1.1161168198634472,0.618421052631579,0.7842773709094281,0.7885233918128655,0
1013,14,65025.0,64292.0,64132.5,1015.899494767189,60,440,1.0,0.01582977405697084,0.015623214067930626,0.015801336010190833,0.9959798968305775,1.0027484981705586,0.9869511726259131,0.998203508990232,0.9887274125336409,0
383,2,9735.0,7252.5,6115.5,420.69343197345734,31,79,0.3107344632768362,0.06880258925070853,0.04321452819449998,0.05800667796945293,0.9066668792531408,1.0512285205385976,0.6280945043656908,0.8430885901413305,0.7449922958397535,0
790,6,22528.502492754487,17902.0,14512.0,958.9991235733032,74,524,3.660111745208089,0.06591512293444933,0.04256825875939744,0.05356938462592466,1.3115138886283324,1.4574030287363764,0.6458041321068358,0.8127024913417495,0.7946378151746908,0
860,8,29657.087534376886,20219.5,16664.5,937.8721451759338,63,478,1.460459649818251,0.05613983869124469,0.031623878915581424,0.04638453696559924,1.3374511434619216,1.6300731957323464,0.5633054823955762,0.826232102673162,0.6817763199627291,0
1732,8,65025.0,64940.0,56406.0,1846.3229365348816,55,429,1.0,0.03269390569891597,0.028394047466895528,0.02843121245049094,1.8101205260145898,1.8208767266825665,0.868481353325644,0.8696181090237142,0.9986928104575163,0
821,7,30039.454317894066,19670.0,16517.5,903.4284940958023,62,317,1.63636381041211,0.05453016412227568,0.030074730537220283,0.04592925745276066,1.2645976209500984,1.549238458416919,0.5515246656837898,0.8422724961870869,0.6548055031839533,0
1013,3,65025.0,64863.0,64857.0,1015.899494767189,41,284,1.0,0.015667427415577816,0.015623214067930626,0.01566223416689313,0.9959798968305775,1.002357359829727,0.9971780084582853,0.9996685321369656,0.9975086505190311,0
1017,2,65025.0,65015.0,65014.5,1018.2426406145096,34,366,1.0,0.01566225942110378,0.015659248606143938,0.015661657165492726,0.998277098641676,1.0006106475046712,0.9998077662437524,0.9999615473352303,0.9998462129950019,0
477,4,15037.752944837557,9573.0,7149.0,547.8305150270462,30,239,2.286829771848315,0.07660358176984496,0.036430344150261876,0.0572266285414234,1.0276955067397735,1.2542589147242096,0.4755697228324995,0.7470489919565444,0.6365977706321077,0
591,3,23065.90741111897,15358.5,12771.0,668.457931637764,47,526,0.8134230346832332,0.052327522144723,0.02898034400829739,0.04352364694714744,1.0945054244706205,1.326181780064632,0.5538260330413892,0.831754403099261,0.6658528418698326,0
364,5,6558.519972930662,5684.0,4948.0,388.85281229019165,44,1288,0.6984126821667147,0.07858787637231036,0.05928971992082438,0.06841182482234195,1.1813134813517243,1.3765704641849743,0.7544385044830466,0.8705137227304715,0.8666589449235321,0
750,7,21122.49947669939,14632.0,12442.5,865.1513636112213,69,464,0.3352112696603868,0.06971405025070276,0.04095875890850822,0.05912734852455039,1.2906211064847506,1.5315182267266896,0.5875251654611091,0.848141060688901,0.6927210492366598,0
